City,CompanyName,Rating,Reviews,Address,PhoneNumber,WebsiteURL,Website_Present,Contact_Complete,Phone_OK,Website_OK
Gujranwala,ITechDoor Software Solutions,4.5,-2.0,nouman block,+92 324 6280768,https://itechdoor.com/,True,True,1,1
Gujranwala,Brackets Private Limited,4.7,-24.0,"2nd floor, Zia Plaza, GT Rd, opp. General Bus Stand Road",+92 300 1300797,https://bracketsltd.com/,True,True,1,1
Gujranwala,FastSoftwareSolution,4.5,-2.0,"Shop NO, Gold Star Factory, 51",Not-Available,Not-Available,False,False,0,0
Gujranwala,Software Development and Computer Education,0.0,0.0,11-E Block Rathore house,+92 305 7718742,https://abidingtech.com/,True,True,1,1
Gujranwala,Alpha Solutions,4.9,-17.0,·,+92 349 4206922,https://alphasolutions.online/,True,True,1,1
Gujranwala,Abq Mughal Software house,5.0,-2.0,56Q5+H39,Not-Available,Not-Available,False,False,0,0
Gujranwala,KAZ Technologies,4.6,-16.0,"2nd floor, Super Golden Plaza, G.T Road",+92 323 6456471,http://www.kaztech.com.pk/,True,True,1,1
Gujranwala,Fast Media Tech,4.0,-1.0,Fast Media Tech Plot 50 B Near Khaadi Main,+92 333 8333179,http://fastmediatech.com/,True,True,1,1
Gujranwala,StormDeve Software House,5.0,-5.0,"Saharan Street, Khokhar ki, Sialkot Road, Gujranwala Gujranwala Khokhar ki",+92 304 3840004,Not-Available,False,True,1,0
Gujranwala,Ahmad Bin Obaid,5.0,-2.0,"Mohsin Medical Store, Ghulam Dastagir Khan Rd, opposite Tayba General Store, near Bilal Masjid",+92 310 0078066,http://mrwebapp.com/,True,True,1,1
Gujranwala,Magnificent IT Solutions,5.0,-1.0,"5th Floor office, Trade Center, 20 G.T. Rd",+92 321 7786216,Not-Available,False,True,1,0
Gujranwala,Dawnsol,5.0,-2.0,"office# 30, Second Floor Green Center",+92 327 9503283,https://www.dawnsol.com/,True,True,1,1
Gujranwala,Hafsa SEO outreach Gujranwala,5.0,-1.0,·,+92 345 6237248,https://sites.google.com/view/hafsa-bib-portfolio/home,True,True,1,1
Gujranwala,ZEESHAN BUKHARI,5.0,-1.0,"55FM+V9C GBC, GT Rd",+92 324 9771350,Not-Available,False,True,1,0
Gujranwala,SEO Services Company Gujranwala | Rank SEO Strategies,5.0,-1.0,"Gujranwala business center GBC Basement 1,Trust Plaza",+92 309 9084052,Not-Available,False,True,1,0
Gujranwala,Esystematic Technologies,4.7,-14.0,"Near Cafe 09, 30-GC",+92 311 3999345,https://www.esystematics.com/,True,True,1,1
Gujranwala,6Flicks Technologies,4.9,-40.0,"672-B 2nd Floor Sheraz Investment Plaza, near Billa Pan Shop",+92 320 5678911,https://6flicks.com/,True,True,1,1
Gujranwala,Cognizant Techs,0.0,0.0,·,+92 342 7443236,Not-Available,False,True,1,0
Gujranwala,Greenzay Technologies Social Media Advertising Website Designing Software Development,0.0,0.0,557V+QRH,Not-Available,Not-Available,False,False,0,0
Gujranwala,Innovium Technologies,5.0,-2.0,731 B,+92 314 7031007,https://innoviumtechnologies.com/,True,True,1,1
Gujranwala,Infinkey Solutions Private Limited,4.8,-47.0,65H8+H64,+92 55 8171817,http://www.infinkey.com/,True,True,1,1
Gujranwala,SQA developers,5.0,-7.0,Khalid Bin Waleed Rd,+92 311 0427743,Not-Available,False,True,1,0
Gujranwala,BeastApp Technologies,5.0,-14.0,"Gondlanwala Rd, near Inayat Eng. Works",+92 302 6881965,Not-Available,False,True,1,0
Gujranwala,SKYLINE Business Solutions,4.8,-36.0,"Mumtaz Market, GT Rd, opp. Chase Up",+92 55 3821742,http://www.skylinebizsol.com/,True,True,1,1
Gujranwala,Pakistan IT Solutions (Private) Limited.,4.9,-33.0,·,+92 320 1117487,https://pits.pk/,True,True,1,1
Gujranwala,vSync Technologies,4.8,-18.0,·,+92 324 6108100,http://vsynctech.live/,True,True,1,1
Gujranwala,Softix Technologies,4.4,-72.0,·,+92 334 4400443,https://softix.com.pk/,True,True,1,1
Gujranwala,Sprint Solutions,3.6,-14.0,"Sialkot Rd, opposite Church",+92 300 6316630,Not-Available,False,True,1,0
Gujranwala,PMS (Pvt.)Ltd. (Registered Office),4.8,-5.0,"2nd Floor, Al Sharif Market, Main Model Town Rd",+92 55 3844800,https://pms.net.pk/,True,True,1,1
Gujranwala,Full Solution Services,4.5,-2.0,"56M3+82H, Sialkot Rd",+92 320 4994990,Not-Available,False,True,1,0
Gujranwala,softarena solutions,4.1,-7.0,"55GM+V7C, Service Rd",+92 300 8136544,Not-Available,False,True,1,0
Gujranwala,Softweblinks Company & Training institute,5.0,-2.0,"2 Jinnah Rd, opposite madina market",+92 307 5066520,Not-Available,False,True,1,0
Gujranwala,izy Logic,4.4,-8.0,"Business Center? 2nd floor, Gujranwala? Grand Trunk Road",+92 305 5514833,http://www.izylogic.com/,True,True,1,1
Gujranwala,Uzlogic,4.9,-22.0,"Sialkot Rd, near Babar Bashir Clinc",+92 304 2336926,Not-Available,False,True,1,0
Gujranwala,Nicesoft - Software Company,5.0,-20.0,"Linked, road",+92 323 7591466,http://www.nicesoft.pk/,True,True,1,1
Gujranwala,Systems Logics PVT LTD,4.0,-4.0,150 B Model Town,+92 300 6225355,https://www.systemslogics.com/,True,True,1,1
Gujranwala,Digicare IT Consultants,5.0,-1.0,·,+92 337 0440033,http://www.digicare.com.pk/,True,True,1,1
Gujranwala,Softa Solutions,5.0,-20.0,"Nobel Plaza, GT Rd, near sufi hotel",+92 55 3845880,https://softasolutions.com/,True,True,1,1
Gujranwala,Codimate Solutions,4.7,-3.0,Sialkot Bypass,Not-Available,https://www.codimatesolutions.com/,True,False,0,1
Gujranwala,The Thistle Software,5.0,-2.0,"Model, Moh, naila Chowk, near Gondlanwala Road",+92 301 8909695,Not-Available,False,True,1,0
Gujranwala,Nexl Tech,5.0,-3.0,15 D Garden Town Phase 3 Gujranwala Phase 3,Not-Available,https://nexltech.com/,True,False,0,1
Gujranwala,Abdullah Software house,1.0,-1.0,"Muhallah Bakhtay Wala, Muslim Road, Street 4, near Gap Chowk",+92 311 1765486,https://xpertswp.com/,True,True,1,1
Gujranwala,Interactive Productions,0.0,0.0,"Sheikho Colony, Bheikhopur Sialkot Rd",+92 332 5274433,http://www.mybrandip.com/,True,True,1,1
Gujranwala,INNOPPIA Pakistan,3.9,-16.0,"56R6+25V, Mian Traders Showroom Plaza, Wania More, Sialkot Rd",+92 55 4805360,https://innoppia.pk/,True,True,1,1
Gujranwala,Sarck Solution,0.0,0.0,"29-GC, opposite Main Park",+92 349 1162005,https://sarcksolution.com/,True,True,1,1
Gujranwala,MushTech Software Solutions,4.8,-4.0,·,+92 306 1108590,Not-Available,False,True,1,0
Gujranwala,Devstorm Technologies,5.0,-2.0,"Office #3C, Jahangir Center, DC Rd",+92 324 8651939,https://devstormtech.com/,True,True,1,1
Gujranwala,SKC Technologies,5.0,-46.0,"Super Mobile Market Shop, Street Number 18",+92 332 8003636,http://skctechno.com/,True,True,1,1
Gujranwala,Bizdesk,5.0,-2.0,"SCD, Church Rd",+92 300 7431189,Not-Available,False,True,1,0
Gujranwala,XenBulletin Software Company,0.0,0.0,"55PQ+X62, Gali Number 11",Not-Available,Not-Available,False,False,0,0
Gujranwala,MB Soft Solution,5.0,-1.0,"Bhagbhanpura chowk, Hafizabad road, road, near sadiq",+92 316 1465299,https://mbsoftsolution.com/,True,True,1,1
Gujranwala,Qubitars Technologies,5.0,-2.0,"Plot 90, Mumtaz Market, GT Rd, opposite Chase Up",+92 302 6469153,https://qubitars.com/,True,True,1,1
Gujranwala,WA Solutions,5.0,-1.0,Road Bajwa Rd,+92 300 0000000,http://0000000000.com/,True,True,1,1
Gujranwala,ALBAB Creators/ ALBAB Technology,2.0,-2.0,138 D St,+92 300 8415363,https://albabcreators.com/,True,True,1,1
Gujranwala,TechSol An IT Firm,4.0,-1.0,"Opp.Trust Plaza, Super Golden Plaza, Office #5, First, GT Rd",+92 300 7110032,Not-Available,False,True,1,0
Gujranwala,Torce Networking,0.0,0.0,Disposal Rd,+92 316 4000186,https://torcenetworking.com/,True,True,1,1
Gujranwala,Noaman Aziz |SEO Expert Gujranwala,4.6,-11.0,"552F+4X9, near gov girls collage",+92 336 6495110,Not-Available,False,True,1,0
Gujranwala,Mindspire,5.0,-14.0,·,+92 329 6273720,https://mindspire.org/,True,True,1,1
Gujranwala,Design Studio,5.0,-5.0,Main Market Satellite,Not-Available,https://designstudio.com.pk/,True,False,0,1
Gujranwala,EraTech,4.7,-3.0,"Phase 2, IT, no 3, Plot No 110 GC flate, near Shiza Saloon",+92 301 6615034,http://www.eratech.pk/,True,True,1,1
Gujranwala,KualitySoft.,4.4,-16.0,·,+92 315 6461550,https://www.kualitysoft.co.uk/,True,True,1,1
Gujranwala,SEO Expert Gujranwala (Noaman Aziz),5.0,-2.0,College St,+92 310 7880888,Not-Available,False,True,1,0
Gujranwala,Netstech Software Solutions (PVT) LTD,2.0,-1.0,"Sialkot Rd, opposite old passport office",+92 307 6201169,https://netstech.net/,True,True,1,1
Gujranwala,CoralDraw Designs,5.0,-1.0,"55MW+WCF, Near Nomi Autos Jinnah road, Kacha Fatomand Road",+92 336 6149248,http://mtalhazafar.com/,True,True,1,1
Gujranwala,AR TecSolution,0.0,0.0,"Office #1, near Ahmed General Store",+92 303 2222503,https://artecsolution.com/,True,True,1,1
Lahore,Vision Plus,3.9,-155.0,near Aubiya Market,0319 7776976,https://www.google.com/aclk?sa=l&ai=DChcSEwiT3vWi7d-OAxVWqIMHHdbDITAYABAAGgJlZg&co=1&ase=2&gclid=CjwKCAjwv5zEBhBwEiwAOg2YKJFHZLQD-huGkonCRFlfEX9JcZ0GBU88yAi3DGZKSVjaEPL7rvY_cRoClcAQAvD_BwE&category=acrcp_v1_48&sig=AOD64_1PLaNPj3PngVz7d0SkndGjQiGUrQ&adurl&q&ctype=99&nis=6,True,True,1,1
Lahore,IT Genesis -- The Best Software House in Lahore | The Best Software Company in Lahore | Software House in Lahore,4.7,-110.0,·,+92 301 9105640,http://www.itgenesis.net/,True,True,1,1
Lahore,Bit Technologies Lahore- Software House - Website Development - SEO Services - IT Company,4.8,-55.0,·,+92 301 9059680,https://bittechnologies.co/,True,True,1,1
Lahore,Arbisoft,4.5,-677.0,·,+92 42 37498533,https://www.arbisoft.com/,True,True,1,1
Lahore,IT Genesis - - Software House in Lahore - - Software company in Lahore / Software house in Gulberg,4.9,-58.0,73-E/1? IT TOWER? 111 Hali Rd,+92 308 4926007,https://itgenesis.net/,True,True,1,1
Lahore,REX Technologies | Software Company in Lahore,4.5,-75.0,·,+92 313 7398324,https://www.rextech.pk/,True,True,1,1
Lahore,Techlogix Pakistan (Pvt.) Ltd.,4.5,-251.0,39 Empress Road,+92 42 111 859 859,http://www.techlogix.com/,True,True,1,1
Lahore,TechnoLyte Software House - Top IT Agency,5.0,-15.0,·,+92 307 4914979,https://technolyte.com/,True,True,1,1
Lahore,GenXe Technologies,4.9,-205.0,"Office # 36-37F, First Floor Gulberg Center, 84-D1 Main Boulevard Gulberg",+92 300 5624325,https://genxe.com.pk/,True,True,1,1
Lahore,"Jewellery Software House in Lahore,Pakistan",4.6,-113.0,·,+92 300 7660141,Not-Available,False,True,1,0
Lahore,IT Genesis/ The best software house in lahore,4.5,-66.0,Office 34 Gohar center Near muslam Town Mor? Muslam,+92 308 4926007,https://www.itgenesis.net/,True,True,1,1
Lahore,Contour Software Pvt. Ltd,4.8,-159.0,·,+92 42 35788961,http://contour-software.com/,True,True,1,1
Lahore,First Idea Web Development (Pvt) Ltd. Domain Hosting Company | Web Development Software House,4.3,-161.0,·,+92 321 4136474,https://firstideaweb.com/,True,True,1,1
Lahore,Arban Tech Software House (pvt) Ltd.,4.8,-48.0,"Office # 7, 3rd fl, Madina Heights, Bl E, Johar Town, Lahore, Pakistan, Or, Just Call And Select Meeting Place",Not-Available,Not-Available,False,False,0,0
Lahore,PETSAAL TECHNOLOGIES PVT LTD | Best Software House | IT Solution | ERP CRM Development,4.7,-24.0,"1, 2nd Floor TecVezoto, 2nd Floor) of TecVezoto, 2 Km From, opposite Ring Raod, near Netsol Avenue",+92 333 5849688,https://petsaaltech.com/,True,True,1,1
Lahore,Quaid Soft ® | A Real Estate Software - Housing Scheme Software Company in Lahore Pakistan,5.0,-14.0,"Al Hafeez Shopping Mall, Office No. 325, 3rd Floor, Main Blvd Gulberg",+92 321 4812006,https://www.quaidsoft.com/,True,True,1,1
Lahore,Olumi Tech - Lahore software house,5.0,-73.0,"1566, 124 Walton Rd",+92 316 8844669,http://www.olumitech.com/,True,True,1,1
Lahore,ABODE PVT LTD,4.5,-30.0,76,+92 42 35465754,http://www.abconline.us/,True,True,1,1
Lahore,Intelliscence - Software Development Company / Software House,4.6,-82.0,"Office No 04, Ground Floor? Ross Resedentia, Canal Rd",+92 345 4090775,https://www.intelliscence.com/,True,True,1,1
Lahore,i2c Inc.,4.6,-966.0,·,+92 42 111 000 048,https://www.i2cinc.com/,True,True,1,1
Lahore,Q-Soft Technologies,4.4,-36.0,15 Ghazi Rd,+92 42 35452209,http://qsoft.pk/,True,True,1,1
Lahore,eForce Labs | Software House in Lahore | SEO Agency in Lahore,4.8,-4.0,"Building # 13, Sadiq Street",+92 300 1012663,https://eforcelabs.com/,True,True,1,1
Lahore,Spadasoft Software Development Company,4.6,-33.0,234-C PIA Main Boulevard,+92 325 1041041,http://www.spadasoft.com/,True,True,1,1
Lahore,Whetstonez - software company in Lahore,4.6,-38.0,109,+92 42 35773450,https://whetstonez.com/software-company-lahore/,True,True,1,1
Lahore,Techverx,4.3,-233.0,·,+92 42 32535353,http://www.techverx.com/,True,True,1,1
Lahore,"GraceSol Technologies - Lahore, Pakistan",4.8,-16.0,·,+92 320 1114466,http://www.gracesol.com/,True,True,1,1
Lahore,Webtohelp | Software House in Lahore,4.8,-8.0,"Office NO 27,Floor P2,Jeff Heights",+92 303 4996452,Not-Available,False,True,1,0
Lahore,"Visnext Software Solutions, Lahore",4.3,-80.0,"First Floor 1C - 5, Sikandar Ali Malhi Rd",+92 42 35752867,http://visnext.com/,True,True,1,1
Lahore,IRG Global Technologies - Application & Software Development - BPO - ERP - CRM - POS Solutions - Networking & IT Systems,4.9,-54.0,"Ground, 48 Commercial",+92 324 4443823,https://irgglobal.co/,True,True,1,1
Lahore,Vaival Technologies - Headquarter,4.4,-133.0,145 Madina St,+92 42 37881954,https://www.vaival.com/,True,True,1,1
Lahore,Pro4Tech Web Development Software House in Lahore,5.0,-5.0,"Pakistan, Mint Gate Pkwy, near to Shalimar Town",+92 305 4311341,Not-Available,False,True,1,0
Lahore,Rana Technologies. Web Development Lahore | Software House,3.7,-45.0,"410? Al Hafeez Shopping Mall, 321 Main Blvd Gulberg",+92 313 4226171,https://www.ranatechnologies.com/,True,True,1,1
Lahore,Software House,4.3,-19.0,"rajpoot taimoor, ARFA Tower, Lahore – Kasur Rd",+92 343 1623568,Not-Available,False,True,1,0
Lahore,KeyDevs Technologies Pvt. Ltd. Lahore,4.4,-21.0,·,+92 339 5393387,https://keydevs.pk/,True,True,1,1
Lahore,Phaedra Solutions (Pakistan),4.8,-39.0,"2 West Canal Rd, opposite Doctor Hospital",+92 42 32363305,https://www.phaedrasolutions.com/,True,True,1,1
Lahore,Sixlogics Pakistan,4.6,-65.0,"4th Floor, ONE-R, MM Alam Road, Mini Market Round About",+92 42 38864562,https://www.sixlogics.com/,True,True,1,1
Lahore,"ShehzadOnline | Website Design, Development, Domain, Hosting & SEO Company, Lahore Pakistan.",4.5,-11.0,"Office No 16, 2nd Floor, Lucky Center",+92 333 7494667,https://shehzadonline.com/,True,True,1,1
Lahore,BITLogix (Pvt) Limited,4.7,-38.0,"4th Floor, W Mall, 23 MM Alam Rd",+92 42 35781941,http://www.ebitlogix.com/,True,True,1,1
Lahore,Housecodies,5.0,-17.0,"M-9, Khan Arcade",+92 324 4421140,https://housecodies.com/,True,True,1,1
Lahore,Web Design and Development Company Garden Town Lahore,4.4,-17.0,Plot 165,+92 321 6886880,https://www.thexpertz.com/,True,True,1,1
Lahore,Royal Software House,3.5,-22.0,"H832+79F, Bhatia St",+92 343 0000000,http://www.royalsofts.com/,True,True,1,1
Lahore,Vision Plus,3.9,-155.0,near Aubiya Market,0319 7776976,https://www.google.com/aclk?sa=l&ai=DChcSEwjC1Y-v79-OAxXWlIMHHTcQG6EYABAAGgJlZg&co=1&ase=2&gclid=CjwKCAjwv5zEBhBwEiwAOg2YKL8L_ZOMxoIMePppuPZRPgJ-e6PjW18PKmeXJt0WC87Qv6XWOw8rXBoCnKoQAvD_BwE&category=acrcp_v1_48&sig=AOD64_2aWzd5uZYvtNg9GS9Xf-OkQNvwXw&adurl&q&ctype=99&nis=6,True,True,1,1
Lahore,Whizzbridge,4.7,-24.0,·,+92 344 6305235,https://whizzbridge.com/,True,True,1,1
Lahore,Crewlogix Technologies,4.4,-128.0,"C1, 112, E Ghalib Rd",+92 42 38915581,http://www.crewlogix.com/,True,True,1,1
Lahore,Tech Scale,4.8,-20.0,·,+92 42 35199089,https://techscale.io/,True,True,1,1
Lahore,softvalley software house,4.0,-63.0,"House No, 362",Not-Available,http://www.softvalley.com.pk/,True,False,0,1
Lahore,ITCHAMPX A Solution Providing Company,4.8,-37.0,"Shop#110 , Ground Floor, Jeff Heights Plaza",+92 321 3413419,http://www.itchampx.com/,True,True,1,1
Lahore,10Pearls Lahore,4.7,-56.0,·,+92 42 32150119,https://10pearls.com/,True,True,1,1
Lahore,FireWorks Technology (A software development company),4.0,-61.0,"Office 10, First Floor, Big City Plaza, Gulberg 3 Liberty Round About",+92 345 4777487,http://www.fireworkstech.com/,True,True,1,1
Lahore,Educative,4.5,-98.0,·,+92 309 6663955,http://www.educative.io/,True,True,1,1
Lahore,Siemens Industry Software,4.8,-83.0,·,+92 42 36099100,http://www.mentor.com/,True,True,1,1
Lahore,zAmtech Software House,4.5,-14.0,"Mega Tower, Office no 19, M1, 19 Main Boulevard Gulberg",+92 310 4036782,https://technolyte.com/,True,True,1,1
Lahore,E Tech Software House,4.8,-4.0,"VHCW+WJC, First Floor Gulberg School Main",+92 318 6110269,http://www.etechsh.com/,True,True,1,1
Lahore,Ekkel AI (Private) Limited,4.5,-11.0,"Ashiana Center, G87R+3W Lahore Office 345, 6th Floor, Left Wing",+92 345 6016408,https://www.ekkel.ai/,True,True,1,1
Lahore,Contour Software,4.3,-88.0,·,+92 42 35788961,http://contour-software.com/,True,True,1,1
Lahore,Techcreatix,4.6,-23.0,·,+1 212-518-1027,http://www.techcreatix.com/,True,True,1,1
Lahore,Visual Software Developers,4.9,-73.0,·,+92 333 7454059,https://softbiller.com/,True,True,1,1
Lahore,Webihouse,4.9,-11.0,Lahore – Kasur Rd,+92 331 6393354,http://webihouse.com/,True,True,1,1
Lahore,Techifort (Pvt.) Ltd.,4.6,-11.0,"2nd floor office # 202A, siddiq trade center",+92 300 6047149,https://www.techifort.com/,True,True,1,1
Lahore,Bestosoft- The best software house in Pakistan,4.7,-6.0,F9FF+W9M,+92 301 4836286,http://www.bestosoft.co/,True,True,1,1
Lahore,HP Software House,4.3,-3.0,"House # 8, St. 3",+92 321 3881381,http://www.hpsoftwarehouse.com/,True,True,1,1
Lahore,TxLabz,4.9,-71.0,13 D1,+92 315 4846690,https://txlabz.com/,True,True,1,1
Lahore,Rolustech,4.3,-181.0,·,+92 42 36407166,https://www.rolustech.com/,True,True,1,1
Lahore,SeeBiz Pvt Ltd.,4.6,-79.0,·,+92 42 35756451,https://see.biz/,True,True,1,1
Lahore,Silversoft Solutions,4.9,-16.0,"Office # 25, P1, Lahore Jeff Heights, Main Boulevard Gulberg",+92 322 4396763,https://www.silversoftsolutions.site/,True,True,1,1
Lahore,SHIL - Software house in Lahore,5.0,-2.0,"30-B A1, Malik Tufail Rd",+92 339 5393387,https://softwarehouseinlahore.com/,True,True,1,1
Lahore,Conrad Labs,4.8,-44.0,50-N Gurumangat Rd,+92 42 35876257,http://www.conradlabs.com/,True,True,1,1
Lahore,Code District,4.6,-53.0,·,+92 42 32324298,https://www.codedistrict.com/,True,True,1,1
Lahore,SID SOFTWARE HOUSE PVT LTD,5.0,-1.0,"19-CL, First Floor, Abdalians Cooperative Housing Society",+92 335 5945900,https://www.sidtechnology.me/,True,True,1,1
Lahore,Naeem Software House,4.8,-19.0,·,+92 329 6219415,https://www.fiverr.com/aftech,True,True,1,1
Lahore,SAW Tech Software House,4.5,-10.0,HCJ3+CCF,+92 308 8608320,Not-Available,False,True,1,0
Lahore,SkimCode-Software House,4.0,-6.0,240E,+92 306 7112215,Not-Available,False,True,1,0
Lahore,Active House Technologies,5.0,-2.0,"Office # 19, 2nd Floor, IT Tower, Hali Rd",+92 42 35239025,Not-Available,False,True,1,0
Lahore,Website Developers in Lahore | Pakistan,5.0,-1.0,House# 8-B,+92 304 4488795,https://devblinks.com/,True,True,1,1
Islamabad,Software Development Hub,4.8,-34.0,"2nd floor, Gulberg Express Way, Madni Arcade, Bhati Society Rd",+92 341 5240748,https://softwaredevelopmenthub.com/,True,True,1,1
Islamabad,Jantrah Tech (Pvt) Ltd. - Software House in Islamabad,4.9,-45.0,·,+92 311 5254544,https://jantrah.com/,True,True,1,1
Islamabad,Bit Technologies | Web development Company Pakistan,4.9,-76.0,"National Incubation Center, Street 6",+92 310 5878854,https://bittechnologies.co/,True,True,1,1
Islamabad,Devsinc (Islamabad),4.7,-52.0,102 Chinar Rd,+92 306 0074645,https://www.devsinc.com/,True,True,1,1
Islamabad,Emumba Private Limited,4.6,-163.0,·,+92 51 4444711,http://www.emumba.com/,True,True,1,1
Islamabad,CDL | Software House in Islamabad/Pakistan | Best Digital Marketing Agency in Islamabad/Pakistan |,4.8,-19.0,·,+92 304 0738009,https://cdl.com.pk/,True,True,1,1
Islamabad,Redis Solution | Software House in Islamabad |,5.0,-49.0,"Office#1 2nd floor, ABC Plaza, 4th Road, Commercial Market Rd",+92 349 3614440,https://redissolution.com/,True,True,1,1
Islamabad,Software House in Pakistan,5.0,-1.0,"House 381, Main Double Rd",+92 333 8322151,https://redissolution.com/,True,True,1,1
Islamabad,"Systems Limited, Islamabad",4.8,-142.0,·,+92 311 9215639,http://www.systemsltd.com/,True,True,1,1
Islamabad,CodesOrbit,4.8,-74.0,"Plot#395, Fazal Technology Park, 396",+92 51 8356104,https://codesorbit.com/,True,True,1,1
Islamabad,Eziline Software House Pvt Ltd,4.4,-966.0,"Office #304-B Amna Plaza, near Radio Pakistan",Not-Available,https://eziline.com/,True,False,0,1
Islamabad,"All Tech 360 (Web Development Company, Web Development Islamabad , Software House In Rawalpindi)",5.0,-30.0,"Office f25, 2nd floor, Chandni Chow, Mid City Shopping Mall",+92 312 5676066,https://www.alltech360.com/,True,True,1,1
Islamabad,Pixel Sama | Software House in Islamabad | Software Companies in Pakistan,5.0,-7.0,·,+92 344 5786762,Not-Available,False,True,1,0
